"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp toolX:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"admin","canceled","22.05.2021 21:19","22.05.2021 21:19","2s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","- / 158","20.0 / 25.1","-","bed:0.0 tool0:0.0 ","Sunlu","Arancio","PLA+","-","-","0.00","-1.10","0.00","0.00"
"santanig5","success","21.04.2021 17:59","22.04.2021 08:14","14h15m18s","R2_2-3-2_Right_Leg.gcode","R2_2-3-2_Right_Leg.gcode","8446289","154 / 154","45.1 / 42.8"," ","bed:65.0 tool0:220.0 ","GST3D","White #6","PLA+","-","-","89550.00","45390.00","269.00","12.00"
"santanig5","success","21.04.2021 17:59","22.04.2021 08:14","14h15m18s","R2_2-3-2_Right_Leg.gcode","R2_2-3-2_Right_Leg.gcode","8446289","154 / 154","45.1 / 42.8","-","bed:65.0 tool0:220.0 ","GST3D","White #6","PLA+","-","-","89550.00","45390.00","269.00","12.00"
"santanig5","success","21.04.2021 13:13","21.04.2021 17:42","4h29m8s","Skirt.gcode","Skirt.gcode","6963898","92 / 92","29.5 / -","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","0.00","-","-"
"santanig5","success","21.04.2021 13:13","21.04.2021 17:42","4h29m8s","Skirt.gcode","Skirt.gcode","6963898","92 / 92","29.5 / -","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","0.00","-","-"
"santanig5","success","20.04.2021 21:51","21.04.2021 11:49","13h58m9s","Leg_parts.gcode","Leg_parts.gcode","7974831","320 / 320","91.5 / 89.3","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","54737.27","-","-"
"santanig5","success","20.04.2021 21:51","21.04.2021 11:49","13h58m9s","Leg_parts.gcode","Leg_parts.gcode","7974831","320 / 320","91.5 / 89.3","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","54737.27","-","-"
"santanig5","success","19.04.2021 17:02","20.04.2021 20:30","1d3h27m20s","R2_2-3-2_Feet.gcode","R2_2-3-2_Feet.gcode","16654561","269 / 269","55.8 / 53.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","78573.60","-","-"
"santanig5","success","19.04.2021 17:02","20.04.2021 20:30","1d3h27m20s","R2_2-3-2_Feet.gcode","R2_2-3-2_Feet.gcode","16654561","269 / 269","55.8 / 53.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","78573.60","-","-"
"santanig5","success","19.04.2021 13:52","19.04.2021 16:41","2h48m41s","Omniwheel_50mm_Tyres(8).gcode","Omniwheel_50mm_Tyres(8).gcode","11754696","100 / 100","22.0 / 19.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","6000.94","-","-"
"santanig5","success","19.04.2021 13:52","19.04.2021 16:41","2h48m41s","Omniwheel_50mm_Tyres(8).gcode","Omniwheel_50mm_Tyres(8).gcode","11754696","100 / 100","22.0 / 19.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","6000.94","-","-"
"santanig5","success","18.04.2021 09:25","19.04.2021 12:40","1d3h15m5s","MZ_R2_D2_Body_2-3-2.gcode","MZ_R2_D2_Body_2-3-2.gcode","37087006","658 / 658","199.3 / 197.1","-","bed:65.0 tool0:0.0 ","-","-","-","-","-","-","139695.38","-","-"
"santanig5","success","18.04.2021 09:25","19.04.2021 12:40","1d3h15m5s","MZ_R2_D2_Body_2-3-2.gcode","MZ_R2_D2_Body_2-3-2.gcode","37087006","658 / 658","199.3 / 197.1","-","bed:65.0 tool0:0.0 ","-","-","-","-","-","-","139695.38","-","-"
"santanig5","success","18.04.2021 08:21","18.04.2021 08:29","7m55s","Spacer(2)(2).gcode","Spacer(2)(2).gcode","451797","20 / 20","6.0 / 3.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","173.15","-","-"
"santanig5","success","18.04.2021 08:21","18.04.2021 08:29","7m55s","Spacer(2)(2).gcode","Spacer(2)(2).gcode","451797","20 / 20","6.0 / 3.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","173.15","-","-"
